entry	symbol	decompile_status	decompile_file	file_present	evidence_class	research_status	next_action	textual_callers_count	textual_callers	textual_callees_count	textual_callees	source_cpp_h_references	callgraph_basis	ghidra_catalog_present	ghidra_calling_convention	ghidra_signature	ghidra_body_min	ghidra_body_max	ghidra_body_address_count	ghidra_is_thunk	ghidra_thunk_target	ghidra_direct_callers_count	ghidra_direct_callers	ghidra_direct_callees_count	ghidra_direct_callees	ghidra_incoming_ref_count	ghidra_incoming_flow_refs	ghidra_incoming_data_refs	ghidra_incoming_other_refs
004D7FB1	FUN_004d7fb1	ok	004d7fb1_FUN_004d7fb1.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		1	FUN_004BE10C	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d7fb1(void)	004D7FB1	004D7FE9	57	false		0		1	004BE10C:FUN_004be10c	1	0	1	0
004D7FF0	FUN_004d7ff0	ok	004d7ff0_FUN_004d7ff0.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004D56EB;FUN_0058EA3A	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d7ff0(void)	004D7FF0	004D801D	46	false		0		2	004D56EB:FUN_004d56eb;0058EA3A:FUN_0058ea3a	1	0	1	0
004D8020	FUN_004d8020	ok	004d8020_FUN_004d8020.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	2	FUN_00489A3E;FUN_0052236F	10	FUN_00429A6D;FUN_0042AD2B;FUN_0042AFD0;FUN_00430F20;FUN_00430F50;FUN_004310A0;FUN_004C8CE0;FUN_004CCBE0;FUN_004DF250;FUN_0054AC09	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d8020(void)	004D8020	004D856A	1355	false		2	00489A3E:FUN_00489a3e;0052236F:FUN_0052236f	12	00429A6D:FUN_00429a6d;0042AD2B:FUN_0042ad2b;0042AFD0:FUN_0042afd0;00430F20:FUN_00430f20;00430F50:FUN_00430f50;00431070:CSimpleArray<>;004310A0:FUN_004310a0;004C8CE0:FUN_004c8ce0;004CCBE0:FUN_004ccbe0;004DF250:FUN_004df250;0054AC09:FUN_0054ac09;0058F0CA:operator_new	7	7	0	0
004D856B	FUN_004d856b	ok	004d856b_FUN_004d856b.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004D88E0	1	FUN_004C8D6C	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d856b(void)	004D856B	004D8586	28	false		1	004D88E0:FUN_004d88e0	1	004C8D6C:FUN_004c8d6c	1	1	0	0
004D8587	FUN_004d8587	ok	004d8587_FUN_004d8587.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		5	FUN_00430F20;FUN_00430F50;FUN_004310A0;FUN_00493D50;FUN_004CCFED	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d8587(void)	004D8587	004D88D8	850	false		0		7	00430F20:FUN_00430f20;00430F50:FUN_00430f50;00431070:CSimpleArray<>;004310A0:FUN_004310a0;00493D50:FUN_00493d50;004CCFED:FUN_004ccfed;005900CE:_rand	1	0	1	0
004D88E0	FUN_004d88e0	ok	004d88e0_FUN_004d88e0.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004D856B;FUN_0058EA3A	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d88e0(void)	004D88E0	004D890D	46	false		0		2	004D856B:FUN_004d856b;0058EA3A:FUN_0058ea3a	1	0	1	0
004D8910	FUN_004d8910	ok	004d8910_FUN_004d8910.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004DA607	5	FUN_00430F50;FUN_004310A0;FUN_004C8CE0;FUN_004CCBE0;FUN_0054AC09	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d8910(void)	004D8910	004D8BA1	658	false		1	004DA607:FUN_004da607	7	00430F50:FUN_00430f50;00431070:CSimpleArray<>;004310A0:FUN_004310a0;004C8CE0:FUN_004c8ce0;004CCBE0:FUN_004ccbe0;0054AC09:FUN_0054ac09;0058F0CA:operator_new	1	1	0	0
004D8BA2	FUN_004d8ba2	ok	004d8ba2_FUN_004d8ba2.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004D8EC0	1	FUN_004C8D6C	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d8ba2(void)	004D8BA2	004D8BBD	28	false		1	004D8EC0:FUN_004d8ec0	1	004C8D6C:FUN_004c8d6c	1	1	0	0
004D8BBE	FUN_004d8bbe	ok	004d8bbe_FUN_004d8bbe.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		7	FUN_00430F50;FUN_004310A0;FUN_00493D50;FUN_004A8940;FUN_004C15FC;FUN_004CCFED;FUN_00561462	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d8bbe(void)	004D8BBE	004D8EB5	760	false		0		9	00430F50:FUN_00430f50;00431070:CSimpleArray<>;004310A0:FUN_004310a0;00493D50:FUN_00493d50;004A8940:FUN_004a8940;004C15FC:FUN_004c15fc;004CCFED:FUN_004ccfed;0056146F:thunk_FUN_00561462;005900CE:_rand	1	0	1	0
004D8EC0	FUN_004d8ec0	ok	004d8ec0_FUN_004d8ec0.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004D8BA2;FUN_0058EA3A	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d8ec0(void)	004D8EC0	004D8EED	46	false		0		2	004D8BA2:FUN_004d8ba2;0058EA3A:FUN_0058ea3a	1	0	1	0
