record	entry	name	from	to	type	symbol	value
instruction	0040e817	FUN_0040e817	0040e847		UNCONDITIONAL_JUMP	FUN_0040e817	bytes=EB09;mnemonic=JMP;instruction=JMP 0x0040e852;inputs=;results=;flows=0040e852;fallthrough=
instruction_reference	0040e817	FUN_0040e817	0040e847	0040e852	UNCONDITIONAL_JUMP	LAB_0040e852	operand_index=0;primary=true;source=DEFAULT
instruction	0040e817	FUN_0040e817	0040e849	0040e84c	FALL_THROUGH	FUN_0040e817	bytes=8B45F4;mnemonic=MOV;instruction=MOV EAX,dword ptr [EBP + -0xc];inputs=EBP,0xfffffff4;results=EAX;flows=;fallthrough=0040e84c
instruction_reference	0040e817	FUN_0040e817	0040e849	Stack[-0x10]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e84c	0040e84f	FALL_THROUGH	FUN_0040e817	bytes=83C001;mnemonic=ADD;instruction=ADD EAX,0x1;inputs=EAX,0x0,0x1,0xff;results=CF,EAX,PF,ZF,SF,OF;flows=;fallthrough=0040e84f
instruction	0040e817	FUN_0040e817	0040e84f	0040e852	FALL_THROUGH	FUN_0040e817	bytes=8945F4;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0xc],EAX;inputs=EAX,EBP,0xfffffff4;results=;flows=;fallthrough=0040e852
instruction_reference	0040e817	FUN_0040e817	0040e84f	Stack[-0x10]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e852	0040e855	FALL_THROUGH	FUN_0040e817	bytes=8B4D08;mnemonic=MOV;instruction=MOV ECX,dword ptr [EBP + 0x8];inputs=EBP,0x8;results=ECX;flows=;fallthrough=0040e855
instruction_reference	0040e817	FUN_0040e817	0040e852	Stack[0x4]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e855	0040e858	FALL_THROUGH	FUN_0040e817	bytes=8B55F4;mnemonic=MOV;instruction=MOV EDX,dword ptr [EBP + -0xc];inputs=EBP,0xfffffff4;results=EDX;flows=;fallthrough=0040e858
instruction_reference	0040e817	FUN_0040e817	0040e855	Stack[-0x10]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e858	0040e85e	FALL_THROUGH	FUN_0040e817	bytes=3B91D8010000;mnemonic=CMP;instruction=CMP EDX,dword ptr [ECX + 0x1d8];inputs=0x0,0x1,ECX,0x1d8,EDX,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=0040e85e
instruction	0040e817	FUN_0040e817	0040e85e	0040e860	CONDITIONAL_JUMP	FUN_0040e817	bytes=7D4A;mnemonic=JGE;instruction=JGE 0x0040e8aa;inputs=SF,OF;results=;flows=0040e8aa;fallthrough=0040e860
instruction_reference	0040e817	FUN_0040e817	0040e85e	0040e8aa	CONDITIONAL_JUMP	LAB_0040e8aa	operand_index=0;primary=true;source=DEFAULT
instruction	0040e817	FUN_0040e817	0040e860	0040e863	FALL_THROUGH	FUN_0040e817	bytes=8B450C;mnemonic=MOV;instruction=MOV EAX,dword ptr [EBP + 0xc];inputs=EBP,0xc;results=EAX;flows=;fallthrough=0040e863
instruction_reference	0040e817	FUN_0040e817	0040e860	Stack[0x8]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e863	0040e866	FALL_THROUGH	FUN_0040e817	bytes=0345F4;mnemonic=ADD;instruction=ADD EAX,dword ptr [EBP + -0xc];inputs=EAX,0x0,0x1,EBP,0xfffffff4,0xff;results=CF,EAX,PF,ZF,SF,OF;flows=;fallthrough=0040e866
instruction_reference	0040e817	FUN_0040e817	0040e863	Stack[-0x10]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e866	0040e869	FALL_THROUGH	FUN_0040e817	bytes=8B4DEC;mnemonic=MOV;instruction=MOV ECX,dword ptr [EBP + -0x14];inputs=0xffffffec,EBP;results=ECX;flows=;fallthrough=0040e869
instruction_reference	0040e817	FUN_0040e817	0040e866	Stack[-0x18]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e869	0040e86f	FALL_THROUGH	FUN_0040e817	bytes=3B81EC010000;mnemonic=CMP;instruction=CMP EAX,dword ptr [ECX + 0x1ec];inputs=EAX,0x0,0x1,ECX,0x1ec,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=0040e86f
instruction	0040e817	FUN_0040e817	0040e86f	0040e871	CONDITIONAL_JUMP	FUN_0040e817	bytes=7D37;mnemonic=JGE;instruction=JGE 0x0040e8a8;inputs=SF,OF;results=;flows=0040e8a8;fallthrough=0040e871
instruction_reference	0040e817	FUN_0040e817	0040e86f	0040e8a8	CONDITIONAL_JUMP	LAB_0040e8a8	operand_index=0;primary=true;source=DEFAULT
instruction	0040e817	FUN_0040e817	0040e871	0040e874	FALL_THROUGH	FUN_0040e817	bytes=8B5510;mnemonic=MOV;instruction=MOV EDX,dword ptr [EBP + 0x10];inputs=0x10,EBP;results=EDX;flows=;fallthrough=0040e874
instruction_reference	0040e817	FUN_0040e817	0040e871	Stack[0xc]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	0040e817	FUN_0040e817	0040e874	0040e877	FALL_THROUGH	FUN_0040e817	bytes=0355FC;mnemonic=ADD;instruction=ADD EDX,dword ptr [EBP + -0x4];inputs=0x0,0x1,0xfffffffc,EBP,EDX,0xff;results=CF,PF,ZF,SF,EDX,OF;flows=;fallthrough=0040e877
instruction_reference	0040e817	FUN_0040e817	0040e874	Stack[-0x8]	READ		operand_index=1;primary=true;source=ANALYSIS
